name,url,phone,email,website,region,status,whatsapp,mobile
Sonora Jungle & Yoga Retreat,https://www.google.com/maps/search/?api=1&query=Sonora%20Jungle%20%26%20Yoga%20Retreat&query_place_id=ChIJzX0Bik5Rpo8RL2-serCh0ro,+506 2101 4062,,https://sonoracostarica.com/,"Puerto Viejo de Talamanca, Limón",ok,,
Perla Negra Beachfront,https://www.google.com/maps/search/?api=1&query=Perla%20Negra%20Beachfront&query_place_id=ChIJ2-iTDjVRpo8RtxLKSZuwVj0,,,,"Puerto Viejo de Talamanca, Limón",ok,,86210247
INARA Puerto Viejo,https://www.google.com/maps/search/?api=1&query=INARA%20Puerto%20Viejo&query_place_id=ChIJtwlJ2d5Rpo8RgzdN9GbyWrE,,,https://www.villasinarapuertoviejo.com/es/,"Puerto Viejo de Talamanca, Limón",ok,,85169690
Oso Perezoso pool Villa,https://www.google.com/maps/search/?api=1&query=Oso%20Perezoso%20pool%20Villa&query_place_id=ChIJE8p_aXFRpo8REdorYEZZ1mM,,,,"Talamanca, Limón",ok,,89866588
Samasati Retreat Center,https://www.google.com/maps/search/?api=1&query=Samasati%20Retreat%20Center&query_place_id=ChIJBZidFaRQpo8RSeKJB0w0AyE,,,http://www.samasati.com/,"Hone Creek, Limón",ok,,87337342
Hotel Isla Inn,https://www.google.com/maps/search/?api=1&query=Hotel%20Isla%20Inn&query_place_id=ChIJ7S9AXgFQpo8RnRQ5vNlqAK8,+506 2750 0109,,http://www.hotelislainn.com/,"Puerto Viejo de Talamanca, Limón",ok,,
La Tribu Hostel for Women,https://www.google.com/maps/search/?api=1&query=La%20Tribu%20Hostel%20for%20Women&query_place_id=ChIJd7vupSFRpo8RwhKjloarw3Y,,,https://www.latribupv.com/en/,"Puerto Viejo de Talamanca, Limón",ok,,87697690
Cariblue Beach and Jungle Resort,https://www.google.com/maps/search/?api=1&query=Cariblue%20Beach%20and%20Jungle%20Resort&query_place_id=ChIJV8N_OwFQpo8R3IEMEeoMbss,+506 2750 0035,,https://cariblue.com/,"Limon, Limón",ok,,
Cabinas El Shaddai,https://www.google.com/maps/search/?api=1&query=Cabinas%20El%20Shaddai&query_place_id=ChIJRcScYCRbpo8RMfvoXqe2Y-Q,,,,"Puerto Viejo de Talamanca, Limón",ok,,86886868
Pura Selva Glamping & Chalet,https://www.google.com/maps/search/?api=1&query=Pura%20Selva%20Glamping%20%26%20Chalet&query_place_id=ChIJ83lGVV5bpo8RTEzhCgMApNE,,,,"Cocles, Limón",ok,,60470606
Rainforest glamping experience with private plunge pool in jungle garden,https://www.google.com/maps/search/?api=1&query=Rainforest%20glamping%20experience%20with%20private%20plunge%20pool%20in%20jungle%20garden&query_place_id=ChIJEYj8klJFpo8R2df_Ka7fquw,,,,"Cocles, Limón",ok,,
La Prometida Hotel,https://www.google.com/maps/search/?api=1&query=La%20Prometida%20Hotel&query_place_id=ChIJl9LhBTFRpo8RhczW0m4zWJM,,,https://www.laprometidahotel.com/,"Puerto Viejo de Talamanca, Limón",ok,,60941610
Hotel Banana Azul,https://www.google.com/maps/search/?api=1&query=Hotel%20Banana%20Azul&query_place_id=ChIJi8kEdxJQpo8RKrm98lYY0C0,(786) 574-6156,,https://www.bananaazul.com/,"Puerto Viejo de Talamanca, Limón",ok,,
Camping las Canvas,https://www.google.com/maps/search/?api=1&query=Camping%20las%20Canvas&query_place_id=ChIJi7ClokdRpo8RlfF1wAhWRWs,,,,"Talamanca, Limón",ok,,
"Colibri Ecolodge - Comfort Cabin, Garden View",https://www.google.com/maps/search/?api=1&query=Colibri%20Ecolodge%20-%20Comfort%20Cabin%2C%20Garden%20View&query_place_id=ChIJDd2WpgxQpo8R6CBRy5ebaLY,,,,", ",ok,,
Casa Heliconia: authentic rainforest glamping experience in jungle garden,https://www.google.com/maps/search/?api=1&query=Casa%20Heliconia%3A%20authentic%20rainforest%20glamping%20experience%20in%20jungle%20garden&query_place_id=ChIJm238klJFpo8RZGa-Z-Y_l0c,,,https://br.bluepillow.com/search/6397513dfc70cceab61c5bb3?dest=bpex&cat=House&lat=9.63681&lng=-82.73284&language=pt,", ",ok,,
Yucca Beachfront Hotel,https://www.google.com/maps/search/?api=1&query=Yucca%20Beachfront%20Hotel&query_place_id=ChIJHQU3bQ1Qpo8RYwMP1peJ_VQ,+506 2750 0285,,http://www.cabinas-yucca.com/,"Puerto Viejo de Talamanca, Limón",ok,,
El Tucán Jungle Lodge,https://www.google.com/maps/search/?api=1&query=El%20Tuc%C3%A1n%20Jungle%20Lodge&query_place_id=ChIJ7Wr3MlNFpo8RPuWAa11KPiM,+506 2750 0026,,,"Cocles, Limón",ok,,
5 min walk to town /beach Quaint 4 BR Eco Lodge,https://www.google.com/maps/search/?api=1&query=5%20min%20walk%20to%20town%20%2Fbeach%20Quaint%204%20BR%20Eco%20Lodge&query_place_id=ChIJ_fESpgxQpo8R3Uk6B-9I0h8,,,,", ",ok,,
Colibri Ecolodge 3 minutes walk to beach and town,https://www.google.com/maps/search/?api=1&query=Colibri%20Ecolodge%203%20minutes%20walk%20to%20beach%20and%20town&query_place_id=ChIJnfkipAxQpo8R1l5urXa67yk,,,https://deals.vio.com/?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D22450127%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,"Puerto Viejo de Talamanca, Limón",ok,,
Colibri Ecolodge 3 minutes walk to beach and town - Two-Bedroom House with Pool,https://www.google.com/maps/search/?api=1&query=Colibri%20Ecolodge%203%20minutes%20walk%20to%20beach%20and%20town%20-%20Two-Bedroom%20House%20with%20Pool&query_place_id=ChIJnfkipAxQpo8REREEbhtfhzE,,,,"Puerto Viejo de Talamanca, Limón",ok,,
Exotic Lodge,https://www.google.com/maps/search/?api=1&query=Exotic%20Lodge&query_place_id=ChIJQZJ7Jz1Rpo8RIRXRNjgUyyc,,,,"Puerto Viejo de Talamanca, Limón",ok,,64156220
OLA Cabinas,https://www.google.com/maps/search/?api=1&query=OLA%20Cabinas&query_place_id=ChIJB4Q6jupRpo8R9cnNQziMGXY,,,https://instagram.com/olacabinas?igshid=Y2IzZGU1MTFhOQ==,"Puerto Viejo de Talamanca, Limón",ok,,84856174
Colibri Ecolodge 3 minutes walk to beach and town,https://www.google.com/maps/search/?api=1&query=Colibri%20Ecolodge%203%20minutes%20walk%20to%20beach%20and%20town&query_place_id=ChIJY4EipAxQpo8RMRAw-Vb3Rvw,,,,"Puerto Viejo de Talamanca, Limón",ok,,
Cabinas Hukats Secret Jungle,https://www.google.com/maps/search/?api=1&query=Cabinas%20Hukats%20Secret%20Jungle&query_place_id=ChIJN72TiXZQpo8ROrW0vaHARDw,,,,"Puerto Viejo de Talamanca, Limón",ok,,84195481
Cabinas Mariana,https://www.google.com/maps/search/?api=1&query=Cabinas%20Mariana&query_place_id=ChIJPWBBIxBQpo8RFqHZfId0ok8,+506 2750 0526,,,"Puerto Viejo de Talamanca, Limón",ok,,
Cabinas El Renuevo,https://www.google.com/maps/search/?api=1&query=Cabinas%20El%20Renuevo&query_place_id=ChIJ5TQKWQBRpo8RcYwzK-3D8nI,,,,"Hone Creek, Limón",ok,,85960847
Colibri Ecolodge,https://www.google.com/maps/search/?api=1&query=Colibri%20Ecolodge&query_place_id=ChIJGfa1vchRpo8R-SVEmLFwGwk,(317) 640-0556,,https://colibriecolodge.org/,"Puerto Viejo de Talamanca, Limón",ok,,
"Hotel Villas y Glampings MyA, Puerto Viejo, Limon, C.R",https://www.google.com/maps/search/?api=1&query=Hotel%20Villas%20y%20Glampings%20MyA%2C%20Puerto%20Viejo%2C%20Limon%2C%20C.R&query_place_id=ChIJK_atrPNbpo8R-HRzvPXSEUE,,,http://www.villasmya.com/,"Cocles, Limón",ok,,63517444
Colibri Ecolodge 3 minutes walk to beach and town - Four-Bedroom House with Pool,https://www.google.com/maps/search/?api=1&query=Colibri%20Ecolodge%203%20minutes%20walk%20to%20beach%20and%20town%20-%20Four-Bedroom%20House%20with%20Pool&query_place_id=ChIJnfkipAxQpo8RA1yTBwmo6lw,,,https://www.freecancellations.com/search/F21xFldQHXIFCFcDWFUAElANXRpiQFJA?lat=9.65302&lng=-82.75537&language=de,"Puerto Viejo de Talamanca, Limón",ok,,
Cabinas Blessing - Puerto Viejo,https://www.google.com/maps/search/?api=1&query=Cabinas%20Blessing%20-%20Puerto%20Viejo&query_place_id=ChIJ38P-2YFRpo8R104vzae6sWY,,,,"Puerto Viejo de Talamanca, Limón",ok,,72516171
"Cabinas Talamanca, Puerto Viejo",https://www.google.com/maps/search/?api=1&query=Cabinas%20Talamanca%2C%20Puerto%20Viejo&query_place_id=ChIJl6qq6gxQpo8RBAXZjCg4wxQ,+506 2750 0425,,http://www.cabinastalamanca.com/,"Puerto Viejo de Talamanca, Limón",ok,,
Umami Hotel,https://www.google.com/maps/search/?api=1&query=Umami%20Hotel&query_place_id=ChIJH4I-dA5Qpo8RccTCEqCqoYY,+506 2750 3200,,http://www.umamihotel.com/,"Puerto Viejo de Talamanca, Limón",ok,,
Cabinas Taho,https://www.google.com/maps/search/?api=1&query=Cabinas%20Taho&query_place_id=ChIJ1W5TUvtRpo8RzRleeOZ8rwU,,,,"Cahuita, Limón",ok,,85694382
Geckoes Lodge,https://www.google.com/maps/search/?api=1&query=Geckoes%20Lodge&query_place_id=ChIJBUytq1JFpo8RPbuXsfmITaE,,,http://www.geckoeslodge.com/,"Puerto Viejo de Talamanca, Limón",ok,,89970563
Colibri Ecolodge,https://www.google.com/maps/search/?api=1&query=Colibri%20Ecolodge&query_place_id=ChIJc7qQpgxQpo8RtCojLHjhgmo,,,https://www.decolar.com/hoteis/h-6850367,"Puerto Viejo de Talamanca, Limón",ok,,
Cabinas Kuákua,https://www.google.com/maps/search/?api=1&query=Cabinas%20Ku%C3%A1kua&query_place_id=ChIJN3HMrXJRpo8RpHWDMx-Zs5s,,,,"Puerto Viejo de Talamanca, Limón",ok,,89607794
Cabinas Apse Playa Negra,https://www.google.com/maps/search/?api=1&query=Cabinas%20Apse%20Playa%20Negra&query_place_id=ChIJGb2nl3xQpo8RUDYPxFZCxQ4,+506 2750 0374,,,"Puerto Viejo de Talamanca, Limón",ok,,
Cabinas Lika,https://www.google.com/maps/search/?api=1&query=Cabinas%20Lika&query_place_id=ChIJtydi5gxQpo8RUd7pS590bg8,,,,"Puerto Viejo de Talamanca, Limón",ok,,83482777
Villas Jawa - Cabinas - Double Room with Private Bathroom,https://www.google.com/maps/search/?api=1&query=Villas%20Jawa%20-%20Cabinas%20-%20Double%20Room%20with%20Private%20Bathroom&query_place_id=ChIJ1QRWknVapo8RGuDSe2L8xsM,,,https://br.bluepillow.com/search/65ca0d5b671b07d23c6bcc0e?dest=bkng&cat=House&lat=9.64711&lng=-82.79555&language=pt,"Talamanca, Limón",ok,,
Cabinas Bambu,https://www.google.com/maps/search/?api=1&query=Cabinas%20Bambu&query_place_id=ChIJcY1t8RdRpo8RoHHVx8Z7kvE,,,https://www.facebook.com/cabinasbambu?mibextid=ZbWKwL,"Puerto Viejo de Talamanca, Limón",ok,,88322639
Cabinas Relax Puerto Viejo,https://www.google.com/maps/search/?api=1&query=Cabinas%20Relax%20Puerto%20Viejo&query_place_id=ChIJX_J0-0lbpo8RUySfvnlh9C0,,,,"Puerto Viejo de Talamanca, Limón",ok,,62893483
Cabinas Casa Dolce Vita,https://www.google.com/maps/search/?api=1&query=Cabinas%20Casa%20Dolce%20Vita&query_place_id=ChIJLXa9BxJQpo8RyrobO8bFyxE,,,http://hoteldetail.eu/cabinas-casa-dolce-vita,"Puerto Viejo de Talamanca, Limón",ok,,63670281
Cabinas Hukats Secret Jungle - Family Room - Disability Access,https://www.google.com/maps/search/?api=1&query=Cabinas%20Hukats%20Secret%20Jungle%20-%20Family%20Room%20-%20Disability%20Access&query_place_id=ChIJ3zWSiXZQpo8RqNbYWeo4kww,,,https://www.freecancellations.com/search/F24jFwNUG3RQX1AHXA4ATQ8NVx03Q11C?lat=9.65013&lng=-82.76264&language=de,"Puerto Viejo de Talamanca, Limón",ok,,
Aiyana Lodge Puerto Viejo,https://www.google.com/maps/search/?api=1&query=Aiyana%20Lodge%20Puerto%20Viejo&query_place_id=ChIJx6ji5Q9Qpo8RLJhwxIoVqnc,+506 2750 0436,,,"Puerto Viejo de Talamanca, Limón",ok,,
Sibo House,https://www.google.com/maps/search/?api=1&query=Sibo%20House&query_place_id=ChIJiYZsZQlRpo8RGqTOHnKEvPE,,,,"Puerto Viejo de Talamanca, Limón",ok,,89669871
Cabinas KiaMimi,https://www.google.com/maps/search/?api=1&query=Cabinas%20KiaMimi&query_place_id=ChIJ6y-U3vVRpo8R4gZF_YhUqxc,,,,"Puerto Viejo de Talamanca, Limón",ok,,86092424
Apartamentos Baconao 2 habitaciones - Two-Bedroom Apartment,https://www.google.com/maps/search/?api=1&query=Apartamentos%20Baconao%202%20habitaciones%20-%20Two-Bedroom%20Apartment&query_place_id=ChIJnzb8lnBQpo8R2jcmZI6l0ng,,,https://br.bluepillow.com/search/68e3db88f93025efada97879?dest=nuit&cat=Apartment&lat=9.65115&lng=-82.76638&language=pt,", ",ok,,
Blossom PARADISE.,https://www.google.com/maps/search/?api=1&query=Blossom%20PARADISE.&query_place_id=ChIJgapIwnBQpo8RTCUSvYDQt50,,,,"Puerto Viejo de Talamanca, Limón",ok,,84381065
"Posada Nena Caribe, Puerto Viejo de Talamanca - Deluxe Double Room with Balcony",https://www.google.com/maps/search/?api=1&query=Posada%20Nena%20Caribe%2C%20Puerto%20Viejo%20de%20Talamanca%20-%20Deluxe%20Double%20Room%20with%20Balcony&query_place_id=ChIJfd3qwg1Qpo8RrAwDMNDlWqI,,,https://br.bluepillow.com/search/5a84f9fd7c00cb0e04282089?dest=bkng&cat=&lat=9.65662&lng=-82.75166&language=pt,"Puerto Viejo de Talamanca, Limón",ok,,
B&B Casa Luce Puerto Viejo,https://www.google.com/maps/search/?api=1&query=B%26B%20Casa%20Luce%20Puerto%20Viejo&query_place_id=ChIJ_8agO65Rpo8R8pP3YtiPcPI,,,,"Puerto Viejo de Talamanca, Limón",ok,,89536016
La Magia Bungalows De Luxe,https://www.google.com/maps/search/?api=1&query=La%20Magia%20Bungalows%20De%20Luxe&query_place_id=ChIJ1yDbMlNFpo8RwAAWSccPBnI,+506 2750 3122,,http://lamagiabungalows.com/,"Puerto Viejo de Talamanca, Limón",ok,,
Cabinas Popular,https://www.google.com/maps/search/?api=1&query=Cabinas%20Popular&query_place_id=ChIJd-Rd2w1Qpo8Rvn3OBGmyiQ0,+506 2750 0087,,http://www.cabinaspopular.com/,"Puerto Viejo de Talamanca, Limón",ok,,
Azania Bungalows,https://www.google.com/maps/search/?api=1&query=Azania%20Bungalows&query_place_id=ChIJxb9uBQFQpo8RcKM2vCq30xE,+506 2750 0540,,http://www.azania-costarica.com/,"Puerto Viejo de Talamanca, Limón",ok,,
Namu Garden Hotel & Spa,https://www.google.com/maps/search/?api=1&query=Namu%20Garden%20Hotel%20%26%20Spa&query_place_id=ChIJCaPa4StRpo8RAHqhqAkswvs,,,http://www.namuhotelpuertoviejo.com/,"Puerto Viejo de Talamanca, Limón",ok,,89781035
SUNSHINE CARIBE,https://www.google.com/maps/search/?api=1&query=SUNSHINE%20CARIBE&query_place_id=ChIJ8YqgnnRQpo8RL9QzLLgM7Rs,+506 2750 0401,,,"Puerto Viejo de Talamanca, Limón",ok,,
Apartamentos Baconao 2 habitaciones - Two-Bedroom Apartment,https://www.google.com/maps/search/?api=1&query=Apartamentos%20Baconao%202%20habitaciones%20-%20Two-Bedroom%20Apartment&query_place_id=ChIJ2WOraHdQpo8R-RIMDY-k3ZM,,,https://www.freecancellations.com/search/F2cjQQEHFnsHV1BVXlkEEggLDxdmTVJL?lat=9.65115&lng=-82.76638&language=de,", ",ok,,
Hotel Puerto Viejo,https://www.google.com/maps/search/?api=1&query=Hotel%20Puerto%20Viejo&query_place_id=ChIJLVdsnA1Qpo8RUOeR-YdOqwE,,,,"Puerto Viejo de Talamanca, Limón",ok,,61049477
"Hotel Tropical, Puerto Viejo, Caribe Sur",https://www.google.com/maps/search/?api=1&query=Hotel%20Tropical%2C%20Puerto%20Viejo%2C%20Caribe%20Sur&query_place_id=ChIJv1GVwg1Qpo8ReTN1s775mG4,+506 2750 2064,,https://www.rolfblancke.com/,"Puerto Viejo de Talamanca, Limón",ok,,
Saranda Hotel Boutique,https://www.google.com/maps/search/?api=1&query=Saranda%20Hotel%20Boutique&query_place_id=ChIJo93QjkdRpo8R5T6rUWS--Gg,,,https://sarandaboutiquehotel.com/index-es.html,"Puerto Viejo de Talamanca, Limón",ok,,83479333
Las Casitas de Playa Negra,https://www.google.com/maps/search/?api=1&query=Las%20Casitas%20de%20Playa%20Negra&query_place_id=ChIJvzYyl3RQpo8ROE6saz-TlXg,+506 2756 8385,,http://hoteldetail.eu/las-casitas-de-playa-negra,"Puerto Viejo de Talamanca, Limón",ok,,
Bungalow Batsu - Apartment with Terrace,https://www.google.com/maps/search/?api=1&query=Bungalow%20Batsu%20-%20Apartment%20with%20Terrace&query_place_id=ChIJ5cfkEH1Qpo8RVjBwDFND3jc,,,https://br.bluepillow.com/search/627d24e6df4f49af9b3419af?dest=bkng&cat=Apartment&lat=9.65675&lng=-82.77598&language=pt,"Talamanca, Limón",ok,,
Villas Pina,https://www.google.com/maps/search/?api=1&query=Villas%20Pina&query_place_id=ChIJt4VuRUNRpo8Rgik4NYhmnh4,+506 2750 3176,,http://www.villaspina.net/,"Puerto Viejo de Talamanca, Limón",ok,,
Villas Roca del Caribe - Bungalow with Patio,https://www.google.com/maps/search/?api=1&query=Villas%20Roca%20del%20Caribe%20-%20Bungalow%20with%20Patio&query_place_id=ChIJfzjag4dQpo8RNh9j8Ki-JsQ,,,https://br.bluepillow.com/search/681182156178c7268f2a1192/1195232705?dest=bkng&cat=Villa&lat=9.65611&lng=-82.77822&language=pt,"Talamanca, Limón",ok,,
Hermoso bungalow frente a la playa con impresionantes vistas al mar y a la playa,https://www.google.com/maps/search/?api=1&query=Hermoso%20bungalow%20frente%20a%20la%20playa%20con%20impresionantes%20vistas%20al%20mar%20y%20a%20la%20playa&query_place_id=ChIJmzyViFVFpo8R3TydjqNIDFA,,,,"Cocles, Limón",ok,,
Jungle beach bungalow,https://www.google.com/maps/search/?api=1&query=Jungle%20beach%20bungalow&query_place_id=ChIJb0W5WwBRpo8R5lq0X40Ei3Y,,,,"Puerto Viejo de Talamanca, Limón",ok,,83963247
Hotel Escape Caribeño,https://www.google.com/maps/search/?api=1&query=Hotel%20Escape%20Caribe%C3%B1o&query_place_id=ChIJdXU91g9Qpo8RV5TsWqCEwZo,,,http://www.escapecaribeno.com/,"Puerto Viejo de Talamanca, Limón",ok,,85988480
Iguana Lodge,https://www.google.com/maps/search/?api=1&query=Iguana%20Lodge&query_place_id=ChIJ6VsVYABRpo8RyA1bMYRPuHU,,,,"Puerto Viejo de Talamanca, Limón",ok,,63535394
